date,station,latitude,longitude,elevation,district,river,basin,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,rainfall_api,rainfall_anomaly_7d,soil_moisture_top,soil_moisture_root,soil_moisture_top_3d_mean,soil_moisture_top_anomaly,river_discharge,discharge_lag_1d,discharge_lag_3d,discharge_rolling_max_3d,discharge_rise_rate_1d,discharge_percentile,slope,aspect,drainage_density,distance_to_stream,land_cover,soil_type,flood_label,label_confidence,flood_event_id,data_quality_flag
2001-01-01,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.05,0.05,0.05,0.05,0.05,0.05,-0.30000000000000004,0.67,0.61,0.67,-0.11302094818081587,2.662606,0.0,0.0,2.662606,2.662606,25.846841811067634,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-02,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.04,0.09,0.09,0.09,0.09,0.08,-0.225,0.67,0.61,0.67,-0.11302094818081587,2.399,2.662606,0.0,2.662606,-0.09900300682864825,23.10229178311906,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-03,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.02,0.11,0.11,0.11,0.11,0.09,-0.14666666666666667,0.67,0.61,0.67,-0.11302094818081587,2.399,2.399,0.0,2.662606,0.0,23.10229178311906,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-04,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.11,0.16999999999999998,0.22,0.22,0.22,0.19,-0.165,0.67,0.61,0.67,-0.11302094818081587,2.4843562,2.399,2.662606,2.4843562,0.03557990829512301,23.912800447177194,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-05,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.03,0.15999999999999998,0.25,0.25,0.25,0.19,-0.10000000000000003,0.66,0.6,0.6666666666666666,-0.12302094818081588,2.248,2.4843562,2.399,2.4843562,-0.0951378067283588,21.06204583566238,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-06,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.3,0.43999999999999995,0.55,0.55,0.55,0.46,-0.09166666666666667,0.66,0.6,0.6633333333333334,-0.12302094818081588,1.828,2.248,2.399,2.4843562,-0.18683274021352317,14.309670206819453,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-07,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.06,0.39,0.61,0.61,0.61,0.45,0.0,0.66,0.6,0.66,-0.12302094818081588,1.763,1.828,2.4843562,2.248,-0.03555798687089724,13.11906092789268,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-08,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.36,0.5599999999999999,0.61,0.61,0.38,0.026249999999999996,0.66,0.59,0.66,-0.12302094818081588,1.7875786,1.763,2.248,1.828,0.013941349971639318,13.616545556176634,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-09,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.06,0.52,0.61,0.61,0.33,0.04555555555555563,0.66,0.59,0.66,-0.12302094818081588,1.699,1.7875786,1.828,1.7875786,-0.04955228262410388,11.833426495248741,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
2001-01-10,KUTTYADI,11.65083333,75.75833333,42.0,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.0,0.5,0.61,0.61,0.28,0.07300000000000001,0.65,0.59,0.6566666666666666,-0.1330209481808159,2.3,1.699,1.763,2.3,0.35373749264273086,21.70486305198435,12.5,270.0,2.95,95.0,Dense Tropical / Plantation,Lateritic / Sandy Loam,0,high,NONE,0.0
