date,station,latitude,longitude,district,river,basin,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,rainfall_30d,rainfall_api,rainfall_anomaly_7d,data_source
2001-01-01,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.05,0.05,0.05,0.05,0.05,0.05,-0.30000000000000004,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-02,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.04,0.09,0.09,0.09,0.09,0.08,-0.225,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-03,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.02,0.11,0.11,0.11,0.11,0.09,-0.14666666666666667,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-04,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.11,0.16999999999999998,0.22,0.22,0.22,0.19,-0.165,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-05,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.03,0.15999999999999998,0.25,0.25,0.25,0.19,-0.10000000000000003,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-06,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.3,0.43999999999999995,0.55,0.55,0.55,0.46,-0.09166666666666667,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-07,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.06,0.39,0.61,0.61,0.61,0.45,0.0,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-08,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.36,0.5599999999999999,0.61,0.61,0.38,0.026249999999999996,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-09,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.06,0.52,0.61,0.61,0.33,0.04555555555555563,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-10,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.0,0.0,0.5,0.61,0.61,0.28,0.07300000000000001,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-11,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.03,0.03,0.42000000000000004,0.64,0.64,0.27,0.012727272727272754,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-12,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.05,0.08,0.44,0.69,0.69,0.28,0.03750000000000003,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-13,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.31,0.39,0.45,1.0,1.0,0.54,-0.08846153846153854,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-14,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,0.12,0.48,0.51,1.12,1.12,0.58,-0.050000000000000044,SATELLITE-DERIVED (NASA POWER / MERRA-2)
2001-01-15,KUTTYADI,11.65083333,75.75833333,KOZHIKODE,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,2.71,3.14,3.2199999999999998,3.7800000000000002,3.83,3.21,1.4326666666666663,SATELLITE-DERIVED (NASA POWER / MERRA-2)
