date,station,rainfall_1d,soil_moisture_top,soil_moisture_root
2001-01-01,VANDIPERIYAR,2.11,0.62,0.63
2001-01-02,VANDIPERIYAR,0.94,0.62,0.63
2001-01-03,VANDIPERIYAR,0.02,0.61,0.62
2001-01-04,VANDIPERIYAR,0.03,0.6,0.62
2001-01-05,VANDIPERIYAR,0.0,0.58,0.61
2001-01-06,VANDIPERIYAR,0.0,0.58,0.61
2001-01-07,VANDIPERIYAR,0.0,0.57,0.6
2001-01-08,VANDIPERIYAR,0.0,0.56,0.6
2001-01-09,VANDIPERIYAR,0.0,0.56,0.59
2001-01-10,VANDIPERIYAR,0.08,0.56,0.59
2001-01-11,VANDIPERIYAR,0.0,0.55,0.59
2001-01-12,VANDIPERIYAR,0.0,0.54,0.58
2001-01-13,VANDIPERIYAR,0.0,0.54,0.58
2001-01-14,VANDIPERIYAR,0.0,0.53,0.57
2001-01-15,VANDIPERIYAR,0.03,0.53,0.57
2001-01-16,VANDIPERIYAR,0.39,0.53,0.56
2001-01-17,VANDIPERIYAR,0.0,0.52,0.56
2001-01-18,VANDIPERIYAR,0.0,0.52,0.56
2001-01-19,VANDIPERIYAR,0.0,0.51,0.55
2001-01-20,VANDIPERIYAR,0.0,0.51,0.55
2001-01-21,VANDIPERIYAR,0.0,0.51,0.55
2001-01-22,VANDIPERIYAR,0.0,0.51,0.54
2001-01-23,VANDIPERIYAR,2.83,0.52,0.54
2001-01-24,VANDIPERIYAR,0.86,0.52,0.54
2001-01-25,VANDIPERIYAR,0.14,0.5,0.54
2001-01-26,VANDIPERIYAR,25.08,0.57,0.55
2001-01-27,VANDIPERIYAR,2.35,0.59,0.59
2001-01-28,VANDIPERIYAR,0.0,0.54,0.57
2001-01-29,VANDIPERIYAR,0.02,0.53,0.57
2001-01-30,VANDIPERIYAR,0.09,0.52,0.56
2001-01-31,VANDIPERIYAR,0.1,0.52,0.56
2001-02-01,VANDIPERIYAR,9.09,0.56,0.56
2001-02-02,VANDIPERIYAR,14.16,0.62,0.58
2001-02-03,VANDIPERIYAR,5.32,0.59,0.59
2001-02-04,VANDIPERIYAR,8.26,0.6,0.59
2001-02-05,VANDIPERIYAR,4.45,0.6,0.6
2001-02-06,VANDIPERIYAR,0.17,0.56,0.59
2001-02-07,VANDIPERIYAR,0.0,0.54,0.58
2001-02-08,VANDIPERIYAR,0.0,0.53,0.58
2001-02-09,VANDIPERIYAR,0.0,0.53,0.57
2001-02-10,VANDIPERIYAR,0.0,0.52,0.56
2001-02-11,VANDIPERIYAR,0.0,0.52,0.56
2001-02-12,VANDIPERIYAR,0.0,0.51,0.56
2001-02-13,VANDIPERIYAR,0.0,0.51,0.55
2001-02-14,VANDIPERIYAR,0.0,0.51,0.55
2001-02-15,VANDIPERIYAR,0.01,0.51,0.54
2001-02-16,VANDIPERIYAR,0.01,0.5,0.54
2001-02-17,VANDIPERIYAR,3.48,0.52,0.54
2001-02-18,VANDIPERIYAR,1.18,0.52,0.54
2001-02-19,VANDIPERIYAR,0.07,0.5,0.54
2001-02-20,VANDIPERIYAR,2.34,0.51,0.54
2001-02-21,VANDIPERIYAR,0.08,0.5,0.53
2001-02-22,VANDIPERIYAR,0.0,0.49,0.53
2001-02-23,VANDIPERIYAR,0.02,0.49,0.53
2001-02-24,VANDIPERIYAR,0.01,0.49,0.52
2001-02-25,VANDIPERIYAR,0.01,0.48,0.52
2001-02-26,VANDIPERIYAR,0.0,0.48,0.52
2001-02-27,VANDIPERIYAR,0.07,0.48,0.52
2001-02-28,VANDIPERIYAR,0.06,0.47,0.51
2001-03-01,VANDIPERIYAR,0.0,0.46,0.51
2001-03-02,VANDIPERIYAR,0.0,0.45,0.51
2001-03-03,VANDIPERIYAR,0.0,0.45,0.51
2001-03-04,VANDIPERIYAR,0.0,0.45,0.5
2001-03-05,VANDIPERIYAR,0.0,0.44,0.5
2001-03-06,VANDIPERIYAR,0.0,0.44,0.5
2001-03-07,VANDIPERIYAR,0.0,0.44,0.5
2001-03-08,VANDIPERIYAR,0.0,0.43,0.49
2001-03-09,VANDIPERIYAR,0.03,0.43,0.49
2001-03-10,VANDIPERIYAR,0.01,0.43,0.49
2001-03-11,VANDIPERIYAR,0.0,0.42,0.49
2001-03-12,VANDIPERIYAR,0.0,0.42,0.49
2001-03-13,VANDIPERIYAR,0.0,0.41,0.49
2001-03-14,VANDIPERIYAR,0.0,0.41,0.49
2001-03-15,VANDIPERIYAR,0.0,0.4,0.48
2001-03-16,VANDIPERIYAR,0.0,0.39,0.48
2001-03-17,VANDIPERIYAR,0.0,0.39,0.48
2001-03-18,VANDIPERIYAR,0.0,0.38,0.48
2001-03-19,VANDIPERIYAR,0.0,0.37,0.48
2001-03-20,VANDIPERIYAR,0.06,0.36,0.48
2001-03-21,VANDIPERIYAR,0.04,0.35,0.48
2001-03-22,VANDIPERIYAR,0.0,0.34,0.47
2001-03-23,VANDIPERIYAR,0.0,0.34,0.47
2001-03-24,VANDIPERIYAR,0.0,0.33,0.47
2001-03-25,VANDIPERIYAR,0.0,0.33,0.47
2001-03-26,VANDIPERIYAR,0.0,0.32,0.47
2001-03-27,VANDIPERIYAR,0.0,0.31,0.47
2001-03-28,VANDIPERIYAR,0.0,0.3,0.47
2001-03-29,VANDIPERIYAR,0.91,0.31,0.47
2001-03-30,VANDIPERIYAR,0.25,0.31,0.47
2001-03-31,VANDIPERIYAR,0.01,0.31,0.47
2001-04-01,VANDIPERIYAR,0.0,0.29,0.47
2001-04-02,VANDIPERIYAR,0.0,0.28,0.47
2001-04-03,VANDIPERIYAR,0.01,0.27,0.47
2001-04-04,VANDIPERIYAR,2.52,0.3,0.47
2001-04-05,VANDIPERIYAR,5.99,0.42,0.48
2001-04-06,VANDIPERIYAR,41.15,0.65,0.51
2001-04-07,VANDIPERIYAR,12.58,0.62,0.57
2001-04-08,VANDIPERIYAR,23.77,0.63,0.58
2001-04-09,VANDIPERIYAR,3.41,0.59,0.6
2001-04-10,VANDIPERIYAR,16.89,0.63,0.59
2001-04-11,VANDIPERIYAR,15.81,0.67,0.61
2001-04-12,VANDIPERIYAR,14.05,0.67,0.63
2001-04-13,VANDIPERIYAR,27.59,0.74,0.65
2001-04-14,VANDIPERIYAR,6.54,0.71,0.67
2001-04-15,VANDIPERIYAR,0.24,0.66,0.66
2001-04-16,VANDIPERIYAR,8.19,0.68,0.65
2001-04-17,VANDIPERIYAR,15.15,0.71,0.67
2001-04-18,VANDIPERIYAR,9.59,0.73,0.68
2001-04-19,VANDIPERIYAR,1.14,0.7,0.68
2001-04-20,VANDIPERIYAR,24.48,0.76,0.68
2001-04-21,VANDIPERIYAR,2.11,0.73,0.7
2001-04-22,VANDIPERIYAR,0.09,0.7,0.69
2001-04-23,VANDIPERIYAR,3.72,0.7,0.68
2001-04-24,VANDIPERIYAR,0.83,0.68,0.67
2001-04-25,VANDIPERIYAR,0.01,0.66,0.66
2001-04-26,VANDIPERIYAR,0.08,0.65,0.66
2001-04-27,VANDIPERIYAR,5.13,0.67,0.65
2001-04-28,VANDIPERIYAR,1.39,0.67,0.66
2001-04-29,VANDIPERIYAR,20.88,0.73,0.67
2001-04-30,VANDIPERIYAR,9.55,0.75,0.69
2001-05-01,VANDIPERIYAR,26.73,0.79,0.71
2001-05-02,VANDIPERIYAR,5.19,0.77,0.73
2001-05-03,VANDIPERIYAR,0.1,0.74,0.71
2001-05-04,VANDIPERIYAR,0.13,0.73,0.71
2001-05-05,VANDIPERIYAR,0.16,0.72,0.7
2001-05-06,VANDIPERIYAR,24.97,0.79,0.71
2001-05-07,VANDIPERIYAR,16.01,0.81,0.74
2001-05-08,VANDIPERIYAR,16.42,0.81,0.75
2001-05-09,VANDIPERIYAR,4.35,0.79,0.76
2001-05-10,VANDIPERIYAR,0.11,0.77,0.75
2001-05-11,VANDIPERIYAR,0.02,0.76,0.74
2001-05-12,VANDIPERIYAR,0.48,0.76,0.73
2001-05-13,VANDIPERIYAR,0.03,0.75,0.73
2001-05-14,VANDIPERIYAR,0.05,0.74,0.72
2001-05-15,VANDIPERIYAR,0.01,0.74,0.72
2001-05-16,VANDIPERIYAR,0.01,0.73,0.71
2001-05-17,VANDIPERIYAR,0.06,0.73,0.71
2001-05-18,VANDIPERIYAR,0.02,0.72,0.7
2001-05-19,VANDIPERIYAR,0.51,0.72,0.7
2001-05-20,VANDIPERIYAR,3.34,0.72,0.69
2001-05-21,VANDIPERIYAR,0.96,0.71,0.69
2001-05-22,VANDIPERIYAR,0.47,0.71,0.69
2001-05-23,VANDIPERIYAR,19.07,0.76,0.7
2001-05-24,VANDIPERIYAR,6.31,0.76,0.72
2001-05-25,VANDIPERIYAR,10.63,0.76,0.71
2001-05-26,VANDIPERIYAR,16.07,0.79,0.73
2001-05-27,VANDIPERIYAR,8.09,0.78,0.74
2001-05-28,VANDIPERIYAR,19.74,0.8,0.74
2001-05-29,VANDIPERIYAR,28.7,0.84,0.77
2001-05-30,VANDIPERIYAR,22.27,0.84,0.79
2001-05-31,VANDIPERIYAR,6.76,0.82,0.8
2001-06-01,VANDIPERIYAR,0.36,0.8,0.79
2001-06-02,VANDIPERIYAR,2.82,0.8,0.78
2001-06-03,VANDIPERIYAR,1.31,0.79,0.77
2001-06-04,VANDIPERIYAR,10.58,0.81,0.77
2001-06-05,VANDIPERIYAR,42.94,0.87,0.8
2001-06-06,VANDIPERIYAR,51.7,0.92,0.85
2001-06-07,VANDIPERIYAR,15.18,0.89,0.88
2001-06-08,VANDIPERIYAR,30.73,0.9,0.88
2001-06-09,VANDIPERIYAR,9.38,0.89,0.89
2001-06-10,VANDIPERIYAR,32.48,0.91,0.9
2001-06-11,VANDIPERIYAR,45.33,0.95,0.93
2001-06-12,VANDIPERIYAR,51.34,0.96,0.96
2001-06-13,VANDIPERIYAR,20.93,0.94,0.97
2001-06-14,VANDIPERIYAR,15.98,0.94,0.97
2001-06-15,VANDIPERIYAR,6.41,0.93,0.97
2001-06-16,VANDIPERIYAR,0.76,0.92,0.96
2001-06-17,VANDIPERIYAR,6.32,0.93,0.96
2001-06-18,VANDIPERIYAR,9.22,0.93,0.96
2001-06-19,VANDIPERIYAR,12.14,0.93,0.96
2001-06-20,VANDIPERIYAR,19.22,0.93,0.96
2001-06-21,VANDIPERIYAR,27.86,0.95,0.97
2001-06-22,VANDIPERIYAR,53.7,0.97,0.99
2001-06-23,VANDIPERIYAR,12.79,0.95,0.99
2001-06-24,VANDIPERIYAR,1.11,0.94,0.98
2001-06-25,VANDIPERIYAR,18.63,0.95,0.98
2001-06-26,VANDIPERIYAR,13.62,0.95,0.98
2001-06-27,VANDIPERIYAR,2.91,0.94,0.98
2001-06-28,VANDIPERIYAR,9.25,0.94,0.98
2001-06-29,VANDIPERIYAR,14.72,0.94,0.98
2001-06-30,VANDIPERIYAR,3.58,0.94,0.98
2001-07-01,VANDIPERIYAR,1.44,0.93,0.97
2001-07-02,VANDIPERIYAR,5.75,0.93,0.97
2001-07-03,VANDIPERIYAR,40.42,0.96,0.98
2001-07-04,VANDIPERIYAR,15.27,0.95,0.99
2001-07-05,VANDIPERIYAR,5.57,0.94,0.98
2001-07-06,VANDIPERIYAR,21.75,0.95,0.98
2001-07-07,VANDIPERIYAR,21.34,0.96,0.99
2001-07-08,VANDIPERIYAR,124.98,0.99,1.0
2001-07-09,VANDIPERIYAR,48.76,0.99,1.0
2001-07-10,VANDIPERIYAR,13.84,0.97,1.0
2001-07-11,VANDIPERIYAR,3.06,0.97,1.0
2001-07-12,VANDIPERIYAR,0.54,0.96,0.99
2001-07-13,VANDIPERIYAR,0.08,0.95,0.99
2001-07-14,VANDIPERIYAR,0.01,0.95,0.98
