date,station,river,basin,district,latitude,longitude,elevation,unit,river_discharge,data_quality_flag
2001-01-01,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-02,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-03,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-04,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-05,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-06,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-07,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-08,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-09,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-10,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-11,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-12,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-13,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-14,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-15,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-16,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-17,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-18,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-19,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-20,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-21,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-22,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-23,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-24,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-25,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-26,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-27,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-28,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-29,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-30,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-01-31,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-01,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-02,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-03,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-04,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-05,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-06,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-07,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-08,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-09,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-10,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-11,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-12,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-13,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-14,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-15,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-16,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
2001-02-17,VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,785.0,m3/sec,0.0,0.0
