station_name,river,basin,district,latitude,longitude,total_records,valid_records,missing_records,pct_missing,first_date,last_date,longest_gap_days,is_hilly_catchment
VANDIPERIYAR,Periyar,West flowing rivers from Tadri to Kanyakumari,IDUKKI,9.57333333,77.09055556,14837,14837,0,0.0,2001-01-01,2025-08-21,214,True
PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,8797,8797,0,0.0,2001-01-01,2025-09-09,66,True
ERINJIPUZHA,Payaswani,West flowing rivers from Tadri to Kanyakumari,KASARAGOD,12.49583333,75.15694444,8772,8772,0,0.0,2001-01-01,2025-09-30,51,False
KUTTYADI,Kuttyadi,West flowing rivers from Tadri to Kanyakumari,KOZHIKODE,11.65083333,75.75833333,8759,8759,0,0.0,2001-01-01,2025-10-31,65,True
PULAMANTHOLE,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,PALAKKAD,10.89805556,76.19194444,8660,8660,0,0.0,2001-01-01,2025-10-31,62,True
THUMPAMON,Pamba,West flowing rivers from Tadri to Kanyakumari,PATHANAMTHITTA,9.22777778,76.7,8549,8549,0,0.0,2001-01-01,2025-11-30,162,True
RAMAMANGALAM,Muvattupuzha,West flowing rivers from Tapi to Tadri,ERNAKULAM,9.94361111,76.47833333,8519,8519,0,0.0,2001-01-01,2025-12-31,32,False
PATTAZHY,Kallada,West flowing rivers from Tadri to Kanyakumari,Kollam,9.07277778,76.76111111,8502,8502,0,0.0,2001-01-01,2025-03-31,27,False
KUNIYIL,Chaliyar,West flowing rivers from Tapi to Tadri,MALAPPURAM,11.23944444,76.02333333,8500,8500,0,0.0,2001-01-01,2025-10-31,121,True
KALLOOPPARA,Pamba,West flowing rivers from Tadri to Kanyakumari,PATHANAMTHITTA,9.40361111,76.65027778,8494,8494,0,0.0,2001-01-01,2025-10-31,172,True
NEELEESWARAM,Periyar,West flowing rivers from Tadri to Kanyakumari,ERNAKULAM,10.18361111,76.49555556,8478,8478,0,0.0,2001-01-01,2025-12-31,29,False
MUTHANKERA,Cauvery,Cauvery,WAYANAD,11.80805556,76.08416667,8439,8439,0,0.0,2001-01-01,2025-08-02,52,True
