date,state,district,village_ward_id,village_ward_name,latitude,longitude,elevation_m,slope_deg,aspect_deg,rainfall_mm_daily,rainfall_mm_1hr_max,rainfall_mm_3day_cum,rainfall_mm_7day_cum,soil_moisture_pct,river_distance_km,river_water_level_m,river_level_change_24hr_m,landslide_history_count,flood_history_count,land_use_type,flash_flood_occurred,lead_time_hours
2023-06-01,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,18.6,9.3,18.6,18.6,30.7,0.48,3.68,,2,0,forest,0,
2023-06-02,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,4.3,1.6,22.9,22.9,30.2,0.48,3.47,-0.21,2,0,forest,0,
2023-06-03,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.0,0.9,25.9,25.9,26.9,0.48,3.46,-0.01,2,0,forest,0,
2023-06-04,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.9,2.4,16.2,34.8,27.2,0.48,3.44,-0.02,2,0,forest,0,
2023-06-05,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,4.0,1.0,15.9,38.8,28.0,0.48,3.3,-0.14,2,0,agriculture,0,
2023-06-06,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.9,3.7,21.8,47.7,28.9,0.48,3.29,-0.01,2,0,barren,0,
2023-06-07,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.1,3.0,19.0,53.8,28.2,0.48,3.13,-0.16,2,0,agriculture,0,
2023-06-08,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.1,0.8,18.1,38.3,27.2,0.48,3.06,-0.07,2,0,built-up,0,
2023-06-09,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.2,1.1,12.4,37.2,25.4,0.48,2.93,-0.13,2,0,forest,0,
2023-06-10,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,4.8,2.5,11.1,39.0,23.7,0.48,2.84,-0.09,2,0,built-up,0,
2023-06-11,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.7,3.5,16.7,38.8,26.4,0.48,2.78,-0.06,2,0,forest,0,
2023-06-12,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.4,2.2,19.9,41.2,27.2,0.48,2.72,-0.06,2,0,forest,0,
2023-06-13,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,17.6,5.9,32.7,49.9,31.0,0.48,2.82,0.1,2,0,built-up,0,
2023-06-14,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,14.6,7.6,38.6,58.4,35.1,0.48,2.86,0.04,2,0,built-up,0,
2023-06-15,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,3.7,1.8,35.9,59.0,32.7,0.48,2.63,-0.23,2,0,forest,0,
2023-06-16,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.6,4.6,26.9,64.4,33.1,0.48,2.5,-0.13,2,0,built-up,0,
2023-06-17,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,8.1,3.2,20.4,67.7,33.0,0.48,2.42,-0.08,2,0,forest,0,
2023-06-18,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,2.7,0.7,19.4,61.7,31.3,0.48,2.32,-0.1,2,0,forest,0,
2023-06-19,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,6.5,2.9,17.3,61.8,29.6,0.48,2.24,-0.08,2,0,built-up,0,
2023-06-20,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,11.5,5.1,20.7,55.7,30.3,0.48,2.27,0.03,2,0,built-up,0,
2023-06-21,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,2.7,1.2,20.7,43.8,27.8,0.48,2.19,-0.08,2,0,forest,0,
2023-06-22,Uttarakhand,Rudraprayag,V001,Kedarnath Ward 1,30.7346,79.0669,3583,24.4,342.3,5.0,2.3,19.2,45.1,27.6,0.48,2.13,-0.06,2,0,forest,0,
